navigation,pid,tid,jid,distance,n_interactions,time_ms
swipe,33JHTN,2,4,-5,5,3930
swipe,33JHTN,3,0,9,9,8421
swipe,33JHTN,3,1,8,8,6250
swipe,33JHTN,3,2,-7,7,5555
swipe,33JHTN,3,3,-8,8,7474
swipe,33JHTN,3,4,-8,8,5687
swipe,33JHTN,4,0,-11,11,7289
swipe,33JHTN,4,1,-11,11,6988
swipe,33JHTN,4,2,10,10,7972
swipe,33JHTN,4,3,-12,12,7087
swipe,33JHTN,4,4,11,13,10609
swipe,33JHTN,5,0,14,14,11108
swipe,33JHTN,5,1,-15,15,8090
swipe,33JHTN,5,2,-14,14,10210
swipe,33JHTN,5,3,13,13,7654
swipe,33JHTN,5,4,-14,14,7138
swipe,1DMER1N,0,0,-5,8,25192
swipe,1DMER1N,0,1,5,5,12936
swipe,1DMER1N,0,2,5,5,10231
swipe,1DMER1N,0,3,-5,5,4155
swipe,1DMER1N,0,4,-5,5,11473
swipe,1DMER1N,1,0,2,2,4210
swipe,1DMER1N,1,1,-1,1,1621
swipe,1DMER1N,1,2,-2,2,1761
swipe,1DMER1N,1,3,-3,3,3362
swipe,1DMER1N,1,4,2,2,2873
swipe,1DMER1N,2,0,-4,4,4480
swipe,1DMER1N,2,1,5,5,2906
swipe,1DMER1N,2,2,5,5,2703
swipe,1DMER1N,2,3,6,6,3848
swipe,1DMER1N,2,4,-5,5,5048
swipe,1DMER1N,3,0,9,9,7156
swipe,1DMER1N,3,1,8,8,4339
swipe,1DMER1N,3,2,-7,7,4049
swipe,1DMER1N,3,3,-8,8,4101
swipe,1DMER1N,3,4,-8,8,4518
swipe,1DMER1N,4,0,-11,11,10208
swipe,1DMER1N,4,1,-11,41,20070
swipe,1DMER1N,4,2,10,10,4725
swipe,1DMER1N,4,3,-12,12,5376
swipe,1DMER1N,4,4,11,11,4642
swipe,1DMER1N,5,0,14,14,7953
swipe,1DMER1N,5,1,-15,15,6191
swipe,1DMER1N,5,2,-14,16,6690
swipe,1DMER1N,5,3,13,13,4776
swipe,1DMER1N,5,4,-14,14,5386
swipe,178TCM8,0,0,-5,6,38667
swipe,178TCM8,0,1,5,5,6582
swipe,178TCM8,0,2,5,5,4445
swipe,178TCM8,0,3,-5,5,3713
swipe,178TCM8,0,4,-5,5,5983
swipe,178TCM8,1,0,2,2,3695
swipe,178TCM8,1,1,-1,1,1902
swipe,178TCM8,1,2,-2,2,2551
swipe,178TCM8,1,3,-3,3,2229
swipe,178TCM8,1,4,2,2,1743
swipe,178TCM8,2,0,-4,4,4131
swipe,178TCM8,2,1,5,5,3314
swipe,178TCM8,2,2,5,7,4106
swipe,178TCM8,2,3,6,6,4452
swipe,178TCM8,2,4,-5,5,3702
swipe,178TCM8,3,0,9,9,6191
swipe,178TCM8,3,1,8,8,4864
swipe,178TCM8,3,2,-7,9,4507
swipe,178TCM8,3,3,-8,8,4258
swipe,178TCM8,3,4,-8,8,4151
swipe,178TCM8,4,0,-11,11,6295
swipe,178TCM8,4,1,-11,11,5388
swipe,178TCM8,4,2,10,10,5518
swipe,178TCM8,4,3,-12,12,5231
swipe,178TCM8,4,4,11,11,4909
swipe,178TCM8,5,0,14,14,8949
swipe,178TCM8,5,1,-15,15,7845
swipe,178TCM8,5,2,-14,14,7751
swipe,178TCM8,5,3,13,13,6473
swipe,178TCM8,5,4,-14,14,6809
swipe,EFUE02,0,0,-5,10,29670
swipe,EFUE02,0,1,5,5,7825
swipe,EFUE02,0,2,5,5,5203
swipe,EFUE02,0,3,-5,5,5286
swipe,EFUE02,0,4,-5,5,5523
swipe,EFUE02,1,0,2,4,21906
swipe,EFUE02,1,1,-1,1,1936
