navigation,pid,tid,jid,distance,n_interactions,time_ms
swipe,2TLFJA1,2,0,-4,4,3486
swipe,2TLFJA1,2,1,5,5,3030
swipe,2TLFJA1,2,2,5,5,3109
swipe,2TLFJA1,2,3,6,8,3606
swipe,2TLFJA1,2,4,-5,5,4473
swipe,2TLFJA1,3,0,9,9,5787
swipe,2TLFJA1,3,1,8,22,11025
swipe,2TLFJA1,3,2,-7,7,3358
swipe,2TLFJA1,3,3,-8,10,3607
swipe,2TLFJA1,3,4,-8,8,3357
swipe,2TLFJA1,4,0,-11,11,5814
swipe,2TLFJA1,4,1,-11,11,4835
swipe,2TLFJA1,4,2,10,10,5448
swipe,2TLFJA1,4,3,-12,12,4050
swipe,2TLFJA1,4,4,11,29,11074
swipe,2TLFJA1,5,0,14,14,8616
swipe,2TLFJA1,5,1,-15,15,5057
swipe,2TLFJA1,5,2,-14,14,6576
swipe,2TLFJA1,5,3,13,13,4282
swipe,2TLFJA1,5,4,-14,14,5717
swipe,E21CVE,0,0,-5,8,21367
swipe,E21CVE,0,1,5,5,6112
swipe,E21CVE,0,2,5,5,4373
swipe,E21CVE,0,3,-5,5,4742
swipe,E21CVE,0,4,-5,5,4546
swipe,E21CVE,1,0,2,2,3048
swipe,E21CVE,1,1,-1,1,3626
swipe,E21CVE,1,2,-2,2,2134
swipe,E21CVE,1,3,-3,3,2201
swipe,E21CVE,1,4,2,2,2435
swipe,E21CVE,2,0,-4,4,4490
swipe,E21CVE,2,1,5,5,3822
swipe,E21CVE,2,2,5,5,3360
swipe,E21CVE,2,3,6,6,3295
swipe,E21CVE,2,4,-5,5,3697
swipe,E21CVE,3,0,9,9,5657
swipe,E21CVE,3,1,8,8,6104
swipe,E21CVE,3,2,-7,7,4441
swipe,E21CVE,3,3,-8,8,3741
swipe,E21CVE,3,4,-8,8,3614
swipe,E21CVE,4,0,-11,11,6281
swipe,E21CVE,4,1,-11,11,5991
swipe,E21CVE,4,2,10,10,4739
swipe,E21CVE,4,3,-12,12,5183
swipe,E21CVE,4,4,11,11,4576
swipe,E21CVE,5,0,14,14,9701
swipe,E21CVE,5,1,-15,15,11036
swipe,E21CVE,5,2,-14,14,7843
swipe,E21CVE,5,3,13,13,5386
swipe,E21CVE,5,4,-14,14,6031
